COUNTRY,Avg_FZF5_Period1,Avg_FZF5_Period2,FZF5_Change_Percent,Abs_Change_Percent
Antarctica,-2.466666666666667,-6.733333333333333,172.97297304309717,172.97297304309717
Chile,-0.7,-0.1,-85.71428583673469,85.71428583673469
New Zealand,-0.8513888888888889,-0.3,-64.76345847737306,64.76345847737306
Slovakia,-0.8307692307692308,-1.3625,64.00462970667223,64.00462970667223
Latvia,-0.9199999999999999,-1.5,63.0434783293951,63.0434783293951
Sweden,-0.6923076923076923,-1.0777777777777777,55.679012426104244,55.679012426104244
Romania,-1.3692307692307693,-0.6136363636363636,-55.18386112304031,55.18386112304031
Finland,-1.0743589743589743,-1.5999999999999999,48.92601436534879,48.92601436534879
Ukraine,-1.2461538461538462,-1.8357142857142859,47.31040568170413,47.31040568170413
Estonia,-1.0076923076923077,-1.481818181818182,47.05065931109124,47.05065931109124
