COUNTRY,Avg_FZF6_Period1,Avg_FZF6_Period2,FZF6_Change_Percent,Abs_Change_Percent
Antarctica,-3.632,-6.933333333333334,90.89574158156087,90.89574158156087
United States,-3.347512151049406,-3.940194257628526,17.705151766823988,17.705151766823988
Luxembourg,-3.9076923076923076,-3.2444444444444445,-16.972878394544676,16.972878394544676
Ireland,-2.8125,-2.466666666666667,-12.29629630066831,12.29629630066831
Croatia,-3.5076923076923077,-3.925,11.896929827953068,11.896929827953068
Uruguay,-2.575,-2.8600000000000003,11.067961169346786,11.067961169346786
Ukraine,-4.205769230769231,-3.75,-10.836762691191195,10.836762691191195
United Kingdom,-3.170128205128205,-2.850277777777778,-10.08951079435562,10.08951079435562
Germany,-3.6115384615384616,-3.2604166666666665,-9.722222224914216,9.722222224914216
China,-3.3076835737362056,-3.00359649122807,-9.193354679226053,9.193354679226053
